team,split_games,points_for,points_against,off_poss,def_poss,opp_mean_off_rating,opp_mean_def_rating,opp_mean_net_rating,split_type,bucket,bucket_is_gt_115,split_off_rating,split_def_rating,split_net_rating,games,base_off_rating,base_def_rating,base_net_rating,split_game_share
CHI,42,4898,5019,4385.0,4374.0,112.69501167817944,117.27212322565843,-4.577111547478988,opp_off_rating,opp_lte_115,0,111.69897377423032,114.74622770919068,-3.0472539349603522,82,112.12085586644722,117.41692198915861,-5.2960661227113945,0.5121951219512195
CLE,46,5585,5282,4645.0,4644.0,112.64534030895973,117.22756824595216,-4.582227936992436,opp_off_rating,opp_lte_115,0,120.23681377825619,113.73815676141257,6.498657016843623,82,118.28385228095584,114.14787118562298,4.135981095332866,0.5609756097560976
DAL,41,4762,4870,4284.0,4293.0,112.83763870174711,117.43452208693778,-4.596883385190665,opp_off_rating,opp_lte_115,0,111.15779645191411,113.4404845096669,-2.282688057752793,82,111.72397325692454,116.95278969957081,-5.228816442646277,0.5
DEN,46,5733,5311,4623.0,4632.0,112.7682932910832,117.23506532486424,-4.466772033781048,opp_off_rating,opp_lte_115,0,124.01038286826736,114.65889464594127,9.351488222326083,82,121.2011139363119,116.02129719264278,5.179816743669122,0.5609756097560976
DET,47,5664,5156,4742.0,4749.0,112.57854156396056,117.2791104184312,-4.700568854470646,opp_off_rating,opp_lte_115,0,119.44327288064108,108.57022531059171,10.873047570049366,82,117.32474790426437,108.9058524173028,8.418895486961574,0.573170731707317
GSW,41,4879,4696,4173.0,4174.0,112.72323402199831,117.37650822247959,-4.653274200481279,opp_off_rating,opp_lte_115,0,116.91828420800383,112.50598945855295,4.412294749450879,82,113.9427740058196,114.45885347230637,-0.5160794664867723,0.5
HOU,47,5592,5146,4645.0,4652.0,112.8160538539085,117.24206812950322,-4.426014275594739,opp_off_rating,opp_lte_115,0,120.38751345532832,110.61908856405847,9.768424891269845,82,117.49564784879382,112.13175885643255,5.363888992361268,0.573170731707317
IND,42,4665,4946,4213.0,4217.0,112.84338756159674,117.06033279764108,-4.216945236044324,opp_off_rating,opp_lte_115,0,110.72869689057678,117.2871709746265,-6.55847408404972,82,110.75204228736185,118.6066066066066,-7.8545643192447585,0.5121951219512195
LAC,47,5404,5210,4622.0,4620.0,112.83674855567386,117.09967424746698,-4.262925691793113,opp_off_rating,opp_lte_115,0,116.91908264820424,112.77056277056276,4.148519877641476,82,116.33620152138671,115.20518897343146,1.131012547955251,0.573170731707317
LAL,47,5637,5279,4602.0,4598.0,112.85643254640966,117.12733469594446,-4.270902149534783,opp_off_rating,opp_lte_115,0,122.49022164276401,114.81078729882557,7.679434343938439,82,118.46516826027566,116.9529499626587,1.512218297616954,0.573170731707317
MEM,42,4934,5026,4328.0,4322.0,112.82152681958772,117.23202235502883,-4.410495535441113,opp_off_rating,opp_lte_115,0,114.0018484288355,116.2887552059232,-2.286906777087694,82,112.40884638374177,118.44404548174745,-6.035199098005677,0.5121951219512195
MIA,45,5418,5209,4727.0,4723.0,112.71070874690429,117.00358011966621,-4.292871372761921,opp_off_rating,opp_lte_115,0,114.61815104717581,110.2900698708448,4.328081176331011,82,115.82330255930817,113.72411372411374,2.0991888351944397,0.5487804878048781
MIL,43,4855,4995,4199.0,4203.0,112.50756677433569,117.01999240739059,-4.512425633054908,opp_off_rating,opp_lte_115,0,115.6227673255537,118.84368308351179,-3.220915757958096,82,113.52771868351897,119.68769519050593,-6.159976506986965,0.524390243902439
MIN,47,5664,5321,4750.0,4732.0,112.81026140347808,117.27616966618099,-4.465908262702897,opp_off_rating,opp_lte_115,0,119.24210526315791,112.44716821639899,6.794937046758918,82,117.08615682478218,113.92389723703344,3.1622595877487356,0.573170731707317
NOP,42,5007,4974,4316.0,4317.0,112.66635720192802,116.89746748736032,-4.231110285432284,opp_off_rating,opp_lte_115,0,116.01019462465246,115.21890201528839,0.7912926093640635,82,114.74079457364341,119.16696936675142,-4.426174793108004,0.5121951219512195
