10.345,-2.165
-7.81,-15.295
14.24,14.318
-1.802,-2.212
-18.338,5.155
4.519,6.193
4.577,-2.104
1.152,-0.569
-5.282,6.392
-3.826,1.133
-14.213,7.055
6.385,-1.453
18.06,7.283
-3.739,-7.151
17.598,11.534
10.757,3.015
3.971,24.941
-11.407,4.196
-1.066,-5.253
-11.077,-2.909
-7.911,-18.955
2.903,1.458
-0.793,0.225
14.325,-10.005
-19.129,-2.051
-14.361,1.144
-2.775,1.849
13.311,3.423
8.101,-5.219
-22.161,-23.611
-2.165,5.391
-15.295,-17.87
14.318,6.077
-2.909,-0.945
-2.212,-19.782
5.155,2.396
6.193,6.234
-2.104,-3.239
-0.569,10.17
6.392,-4.62
1.133,-20.717
7.055,1.86
-1.453,10.594
7.283,14.583
-7.151,4.581
11.534,6.836
3.015,24.961
24.941,1.88
4.196,-13.061
-5.253,-19.156
-18.955,1.229
1.458,-7.237
0.225,-2.419
-10.005,-11.601
-2.051,16.015
1.144,-3.537
1.849,8.47
3.423,-4.875
-5.219,4.985
-23.611,4.641
5.391,-4.693
-17.87,-7.875
6.077,14.952
-0.945,-7.6
-19.782,-1.072
2.396,-6.271
6.234,6.232
-3.239,4.927
10.17,14.657
-4.62,-4.634
-20.717,-9.015
1.86,8.992
10.594,-5.334
14.583,2.559
4.581,0.091
6.836,-7.176
24.961,9.98
1.88,14.537
-13.061,-2.568
-19.156,5.15
1.229,0.062
-7.237,0.558
-2.419,-3.424
-11.601,5.855
16.015,1.864
-3.537,2.541
8.47,9.882
-4.875,-5.239
4.985,-7.865
4.641,-7.448
-4.693,-1.933
-7.875,-15.03
14.952,2.628
-7.6,0.301
-1.072,3.049
-6.271,8.064
6.232,-3.052
4.927,-0.893
14.657,14.769
-4.634,-2.985
-9.015,10.156
8.992,25.351
-5.334,11.331
2.559,-8.255
0.091,4.294
-7.176,1.948
9.98,13.743
14.537,14.209
-2.568,10.672
5.15,-0.039
0.062,-1.318
0.558,-8.363
-3.424,-15.91
5.855,-1.47
1.864,-34.676
2.541,-21.032
9.882,-2.749
-5.239,-10.891
-7.865,7.535
-7.448,3.813
-1.933,-21.242
-15.03,-2.63
2.628,14.753
0.301,-9.924
3.049,7.437
8.064,-4.094
-3.052,8.904
-0.893,10.494
14.769,-3.168
-2.985,-8.472
10.156,-10.748
25.351,-1.652
11.331,-11.378
-8.255,-0.975
4.294,-2.624
1.948,-9.6
13.743,5.618
14.209,-11.89
10.672,-10.933
-0.039,-8.832
-1.318,-1.95
-8.363,1.609
-15.91,22.138
-1.47,-6.361
-34.676,-5.509
-21.032,-11.281
-2.749,2.993
-10.891,-6.973
7.535,14.417
3.813,10.265
-21.242,11.409
-2.63,11.357
14.753,-0.439
-9.924,-6.369
