season,season_start_year,franchise_id,team,all_games,all_minutes,all_possessions,all_opp_possessions,all_pts,all_opp_pts,all_off_rating,all_def_rating,all_net_rating,clutch_games,clutch_minutes,clutch_possessions,clutch_opp_possessions,clutch_pts,clutch_opp_pts,clutch_off_rating,clutch_def_rating,clutch_net_rating,non_clutch_games,non_clutch_minutes,non_clutch_possessions,non_clutch_opp_possessions,non_clutch_pts,non_clutch_opp_pts,non_clutch_off_rating,non_clutch_def_rating,non_clutch_net_rating,clutch_minus_non_clutch_net,clutch_minus_all_net,clutch_time_pct,clutch_poss_pct
2020-21,2020,1610612742,DAL,72,17305.0,7062.0,7062.0,8096.0,7933.0,114.642,112.334,2.308,33,472.0,208.0,209.0,242.0,255.0,116.346,122.01,-5.663,72,16833.0,6854.0,6853.0,7854.0,7678.0,114.59,112.039,2.551,-8.215,-7.972,2.728,2.945
2020-21,2020,1610612743,DEN,72,17480.0,7123.0,7114.0,8284.0,7929.0,116.299,111.456,4.843,31,658.0,298.0,290.0,341.0,316.0,114.43,108.966,5.464,72,16822.0,6825.0,6824.0,7943.0,7613.0,116.381,111.562,4.819,0.645,0.621,3.764,4.184
2020-21,2020,1610612765,DET,72,17430.0,7132.0,7130.0,7676.0,7998.0,107.628,112.174,-4.546,32,565.0,260.0,263.0,263.0,320.0,101.154,121.673,-20.519,72,16865.0,6872.0,6867.0,7413.0,7678.0,107.873,111.81,-3.938,-16.582,-15.973,3.242,3.646
2020-21,2020,1610612744,GSW,72,17305.0,7412.0,7414.0,8187.0,8111.0,110.456,109.401,1.055,32,521.0,238.0,243.0,268.0,290.0,112.605,119.342,-6.737,72,16784.0,7174.0,7171.0,7919.0,7821.0,110.385,109.064,1.32,-8.057,-7.791,3.011,3.211
2020-21,2020,1610612745,HOU,72,17305.0,7320.0,7345.0,7833.0,8402.0,107.008,114.391,-7.383,24,370.0,169.0,186.0,164.0,210.0,97.041,112.903,-15.862,72,16935.0,7151.0,7159.0,7669.0,8192.0,107.244,114.429,-7.186,-8.676,-8.479,2.138,2.309
2020-21,2020,1610612754,IND,72,17455.0,7419.0,7425.0,8302.0,8305.0,111.902,111.852,0.05,40,764.0,348.0,349.0,352.0,359.0,101.149,102.865,-1.716,72,16691.0,7071.0,7076.0,7950.0,7946.0,112.431,112.295,0.136,-1.852,-1.766,4.377,4.691
2020-21,2020,1610612746,LAC,72,17280.0,7036.0,7022.0,8209.0,7764.0,116.671,110.567,6.105,34,400.0,185.0,194.0,204.0,228.0,110.27,117.526,-7.256,72,16880.0,6851.0,6828.0,8005.0,7536.0,116.844,110.369,6.475,-13.731,-13.36,2.315,2.629
2020-21,2020,1610612747,LAL,72,17455.0,7184.0,7194.0,7887.0,7686.0,109.786,106.839,2.947,35,627.0,275.0,264.0,304.0,263.0,110.545,99.621,10.924,72,16828.0,6909.0,6930.0,7583.0,7423.0,109.755,107.114,2.641,8.283,7.978,3.592,3.828
2020-21,2020,1610612763,MEM,72,17405.0,7302.0,7314.0,8157.0,8083.0,111.709,110.514,1.195,37,652.0,304.0,302.0,309.0,335.0,101.645,110.927,-9.282,72,16753.0,6998.0,7012.0,7848.0,7748.0,112.146,110.496,1.65,-10.932,-10.477,3.746,4.163
2020-21,2020,1610612748,MIA,72,17380.0,7036.0,7026.0,7781.0,7779.0,110.588,110.717,-0.129,34,543.0,246.0,239.0,234.0,244.0,95.122,102.092,-6.97,72,16837.0,6790.0,6787.0,7547.0,7535.0,111.149,111.021,0.128,-7.098,-6.841,3.124,3.496
2020-21,2020,1610612749,MIL,72,17330.0,7423.0,7430.0,8649.0,8225.0,116.516,110.7,5.816,28,470.0,213.0,217.0,228.0,229.0,107.042,105.53,1.512,72,16860.0,7210.0,7213.0,8421.0,7996.0,116.796,110.855,5.941,-4.428,-4.304,2.712,2.869
2020-21,2020,1610612750,MIN,72,17405.0,7389.0,7399.0,8073.0,8473.0,109.257,114.515,-5.258,39,635.0,298.0,314.0,314.0,368.0,105.369,117.197,-11.828,72,16770.0,7091.0,7085.0,7759.0,8105.0,109.42,114.397,-4.976,-6.852,-6.57,3.648,4.033
2020-21,2020,1610612740,NOP,72,17430.0,7303.0,7301.0,8251.0,8272.0,112.981,113.3,-0.319,39,738.0,344.0,341.0,375.0,346.0,109.012,101.466,7.545,72,16692.0,6959.0,6960.0,7876.0,7926.0,113.177,113.879,-0.702,8.247,7.864,4.234,4.71
2020-21,2020,1610612752,NYK,72,17430.0,6994.0,6997.0,7706.0,7540.0,110.18,107.76,2.42,36,750.0,332.0,330.0,353.0,313.0,106.325,94.848,11.477,72,16680.0,6662.0,6667.0,7353.0,7227.0,110.372,108.4,1.973,9.504,9.057,4.303,4.747
2020-21,2020,1610612760,OKC,72,17355.0,7353.0,7342.0,7560.0,8326.0,102.815,113.402,-10.587,29,484.0,220.0,222.0,226.0,226.0,102.727,101.802,0.925,72,16871.0,7133.0,7120.0,7334.0,8100.0,102.818,113.764,-10.946,11.872,11.513,2.789,2.992
2020-21,2020,1610612753,ORL,72,17330.0,7158.0,7164.0,7488.0,8158.0,104.61,113.875,-9.265,29,433.0,201.0,210.0,214.0,222.0,106.468,105.714,0.753,72,16897.0,6957.0,6954.0,7274.0,7936.0,104.557,114.121,-9.565,10.318,10.018,2.499,2.808
