team,games,off_rating,def_rating,net_rating,games_opp_off_rating_opp_gt_115,games_opp_off_rating_opp_lte_115,games_opp_def_rating_opp_gt_115,games_opp_def_rating_opp_lte_115,off_rating_opp_off_rating_opp_gt_115,off_rating_opp_off_rating_opp_lte_115,off_rating_opp_def_rating_opp_gt_115,off_rating_opp_def_rating_opp_lte_115,def_rating_opp_off_rating_opp_gt_115,def_rating_opp_off_rating_opp_lte_115,def_rating_opp_def_rating_opp_gt_115,def_rating_opp_def_rating_opp_lte_115,net_rating_opp_off_rating_opp_gt_115,net_rating_opp_off_rating_opp_lte_115,net_rating_opp_def_rating_opp_gt_115,net_rating_opp_def_rating_opp_lte_115
OKC,82,117.66124171187462,106.57831325301206,11.082928458862568,37.0,45.0,37.0,45.0,116.01289629231597,119.00284277279684,119.47089947089947,116.14617940199336,109.6938775510204,104.04283216783216,104.23168473948692,108.54171276831157,6.319018741295565,14.96001060496468,15.239214731412545,7.604466633681795
ORL,82,114.21179302045728,113.61338468945594,0.5984083310013375,43.0,39.0,33.0,49.0,113.28865264617518,115.21466231483805,117.07825052067837,112.26510406142656,116.26129256428075,110.74918566775244,110.44021415823914,115.77031945006067,-2.972639918105571,4.465476647085609,6.638036362439223,-3.505215388634113
PHI,82,114.59237819585142,114.7317661241712,-0.13938792831977764,40.0,42.0,35.0,47.0,110.06927263730826,118.89411764705882,120.29353655094552,110.33901874078754,117.75908978481327,111.85324553151459,112.33108108108108,116.52962260172886,-7.6898171475050106,7.040872115544232,7.962455469864437,-6.190603860941323
PHX,82,114.2150191760485,112.85608124845182,1.3589379275966849,42.0,40.0,39.0,43.0,111.9676945668135,116.51238428821615,118.32120582120582,110.4840613931523,117.04211557296769,108.57142857142857,111.55347384855581,114.03923422358781,-5.074421006154182,7.940955716787585,6.767731972650012,-3.5551728304355095
POR,82,113.85114825057113,114.26336061627347,-0.4122123657023451,40.0,42.0,40.0,42.0,109.2478421701603,118.23087752229,118.6959743146456,109.25492033739457,115.7907722674562,112.80846063454759,113.91433523149294,114.59358163504334,-6.542930097295908,5.422416887742415,4.781639083152655,-5.33866129764877
SAC,82,110.55508320174906,120.28124621166202,-9.726163009912966,40.0,42.0,36.0,46.0,109.46450809464507,111.59317211948792,111.88637617209045,109.50727154330366,122.37136465324386,118.29152863227638,119.20639294571507,121.12554112554112,-12.90685655859879,-6.698356512788465,-7.320016773624616,-11.61826958223746
SAS,82,118.82936267988875,110.47354433438028,8.355818345508467,37.0,45.0,39.0,43.0,117.60922004824444,119.83252534156014,122.12411705348134,115.79558652729385,112.4396782841823,108.86103781882146,111.28463476070529,109.72609099350046,5.1695417640621315,10.971487522738684,10.839482292776054,6.069495533793386
TOR,82,114.95658554482084,112.10564930300808,2.850936241812761,41.0,41.0,34.0,48.0,110.8161746464897,118.98215147129763,117.57984178142398,113.07724601175482,114.32465923172244,109.94448467294231,110.14960398943971,113.50387921996226,-3.508484585232736,9.037666798355318,7.430237791984268,-0.4266332082074342
UTA,82,112.9701230228471,121.15136592801032,-8.181242905163217,40.0,42.0,36.0,46.0,110.5441354292624,115.25000000000001,116.25000000000001,110.38743455497382,124.06197046719922,118.4174624829468,118.03191489361701,123.6108198783812,-13.51783503793682,-3.167462482946789,-1.7819148936169995,-13.223385323407385
WAS,82,109.66595593461265,121.45652947455818,-11.790573539945527,40.0,42.0,31.0,51.0,108.94646785626986,110.34245001149161,110.01890359168243,109.45330296127563,126.08908467939305,117.10011507479862,115.1496062992126,125.26636225266363,-17.14261682312319,-6.757665063307016,-5.130702707530176,-15.813059291388
